,Link,Price,Image,Model,Year,Exterior Color,Interior Color,Registration,Ownership,Brand,Kms Covered,Fuel Type
0,https://youdrivemecrazy.in/listings/jaguar-xj-50/,3500000.0,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-5.46.36-PM-280x151.jpeg,Jaguar XJ 50,2018,Loire blue,Quilted Ivory white,HP Registered,1,Jaguar,50000,
1,https://youdrivemecrazy.in/listings/porsche-cayenne-3-0-v6/,7200000.0,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-4.01.52-PM-2-280x156.jpeg,Porsche Cayenne 3.0 V6,2019,Biskay blue metallic,Beige,HP Registered,1,Porsche,53000,
2,https://youdrivemecrazy.in/listings/volvo-v90-cross-country-d5/,2500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-30-at-2.30.24-PM-280x189.jpeg,V90 Cross Country D5,2019,Crystal White,Amber Brown,DL Registered,1,Volvo,78000,Diesel
3,https://youdrivemecrazy.in/listings/lexus-nx300/,2500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-4.45.42-PM-1-280x202.jpeg,LEXUS NX300,2018,Sonic Quartz,,HR Registered,1,Lexus,137000,
4,https://youdrivemecrazy.in/listings/ford-mustang-gt-5-0-v8/,7500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-1.27.14-PM-3-280x134.jpeg,FORD MUSTANG GT 5.0 V8,2017,Magnetic Grey Metallic,Black,HP Registered,1,Ford,27000,
5,https://youdrivemecrazy.in/listings/porsche-panamera-4-10-years-edition/,9900000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-21-at-1.01.42-PM-280x153.jpeg,PORSCHE PANAMERA 4,2020,Jet Black Metallic,,HP Registered,1,Porsche,11000,Petrol
6,https://youdrivemecrazy.in/listings/facelift-titanium-2-0-4x4/,2700000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-5.08.46-PM-2-280x193.jpeg,FACELIFT | TITANIUM 2.0 | 4x4,2021,Diamond White,Beige Leather,DL Registered,1,Ford,130000,
7,https://youdrivemecrazy.in/listings/bmw-330i-gt-m-sport/,2550000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-12.23.39-PM-3-280x163.jpeg,330i GT M Sport,2019,Estoril Blue,Black,HR Registered,1,BMW,92000,
8,https://youdrivemecrazy.in/listings/porsche-cayenne/,3650000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-10-at-4.51.17-PM-2-280x210.jpeg,Porsche Cayenne,2013,Moonlight Blue Metallic,Slate Grey,HR Registered,1,Porsche,72000,Petrol
9,https://youdrivemecrazy.in/listings/range-rover-sport-hse-facelift/,5800000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-07-at-1.41.21-PM-2-280x162.jpeg,SPORT HSE (Facelift),2018,Fuji white,Beige,HR Registered,2,Land Rover,38000,
10,https://youdrivemecrazy.in/listings/rolls-royce-ghost-series-ii-xz42/,39100000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/11/IMG-20251103-WA0066-280x204.jpg,GHOST SERIES II XZ42,2017,Madeira RED,Seashell white,DL Registered,1,Rolls royce,58000,Petrol
11,https://youdrivemecrazy.in/listings/bmw-m2-shadow-line/,10500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/11/IMG-20251103-WA0030-280x161.jpg,Bmw M2 Shadow line,2024,Black Sapphire,Ambient interior light,,1,BMW,8000,
12,https://youdrivemecrazy.in/listings/porsche-panamera-bs6/,11500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251028-WA0108-280x159.jpg,Porsche Panamera Bs6,2020,Jet Black Metallic,,HP Registered,1,Porsche,11000,
13,https://youdrivemecrazy.in/listings/z4-m40i-convertible/,9200000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251028-WA0061-280x170.jpg,Z4 M40i Convertible,2024,Black Sapphire Etallic,,HP Registered,1,BMW,4000,
14,https://youdrivemecrazy.in/listings/mercedes-cla-200-sport-%e2%9a%a1/,2400000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251025-WA0082-280x202.jpg,Mercedes CLA 200 Sport ⚡,2019,Grey,Beige,OD Registered,2,Mercedes,30000,
15,https://youdrivemecrazy.in/listings/mercedes-benz-glc-43-amg-coupe/,3950000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251025-WA0032-280x189.jpg,MERCEDES-BENZ GLC 43 AMG COUPE,2018,Obsidian Black,,GJ Registered,2,Mercedes,60000,
16,https://youdrivemecrazy.in/listings/jeep-wrangler-rubicon-2-0l/,6900000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251023-WA0071-280x210.jpg,Jeep Wrangler Rubicon 2.0L,2025,Bright White,Custom Tan,HR Registered,1,Jeep,11000,
17,https://youdrivemecrazy.in/listings/jaguar-xk-r-2/,4500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251004-WA0025-280x157.jpg,Jaguar XK-R,2012,Emerald green peelable,,CH Registered,1,Jaguar,39000,
18,https://youdrivemecrazy.in/listings/a6-45-tfsi-technology/,3550000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250928-WA0020-280x150.jpg,A6 45 TFSI Technology,2020,Mythos Black Metallic,Beige,HP Registered,1,Audi,30000,Petrol
19,https://youdrivemecrazy.in/listings/cooper-s-first-lot-cbu/,2250000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250923-WA0058-280x183.jpg,Cooper S First lot CBU,2016,,,JH Registered,2,Mini Cooper,62000,Petrol
20,https://youdrivemecrazy.in/listings/nx300-hybrid-2/,2950000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250923-WA0026-280x200.jpg,NX300 Hybrid,2018,,,DL Registered,2,Lexus,70000,
