Title,Link,Price,Information,Image,Model,Year,Drive,Exterior Color,Interior Color,Registration,Ownership,Fuel type
21 more photos,https://youdrivemecrazy.in/listings/jaguar-xj-50/,"₹3 ,500 ,000",2018 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-5.46.36-PM-280x151.jpeg,Jaguar XJ 50,2018,50000 Km,Loire blue,Quilted Ivory white,HP Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/porsche-cayenne-3-0-v6/,"₹7 ,200 ,000",2019 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-4.01.52-PM-2-280x156.jpeg,Porsche Cayenne 3.0 V6,2019,53000 Km,Biskay blue metallic,Beige,HP Registered,First Owner,
21 more photos,https://youdrivemecrazy.in/listings/volvo-v90-cross-country-d5/,"₹2 ,500 ,000",2019 Volvo,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-30-at-2.30.24-PM-280x189.jpeg,V90 Cross Country D5,2019,78000 Km,Crystal White,Amber Brown,DL Registered,First Owner,Diesel
22 more photos,https://youdrivemecrazy.in/listings/lexus-nx300/,"₹2 ,500 ,000",2018 Lexus,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-4.45.42-PM-1-280x202.jpeg,LEXUS NX300,2018,"1,37000 Km",Sonic Quartz,,HR Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/ford-mustang-gt-5-0-v8/,"₹7 ,500 ,000",2017 Ford,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-1.27.14-PM-3-280x134.jpeg,FORD MUSTANG GT 5.0 V8,2017,27000 Km,Magnetic Grey Metallic,Black,HP Registered,First Owner,
16 more photos,https://youdrivemecrazy.in/listings/porsche-panamera-4-10-years-edition/,"₹9 ,900 ,000",2020 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-21-at-1.01.42-PM-280x153.jpeg,PORSCHE PANAMERA 4,2020,11000 km,Jet Black Metallic,,HP Registered,First Owner,Petrol Car
14 more photos,https://youdrivemecrazy.in/listings/audi-rs5-facelift-4-2-na-v8-quattro/,"₹4 ,500 ,000",2013 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-20-at-5.26.07-PM-2-280x145.jpeg,Audi RS5 Facelift 4.2 NA V8 | Quattro,2013,42000 Km,Sepang Blue,Black,,,
12 more photos,https://youdrivemecrazy.in/listings/facelift-titanium-2-0-4x4/,"₹2 ,700 ,000",2021 FORD ENDEAVOUR,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-5.08.46-PM-2-280x193.jpeg,FACELIFT | TITANIUM 2.0 | 4x4,2021,"1,30,000 Kms",Diamond White,Beige Leather,DL Registered,First Owner,
19 more photos,https://youdrivemecrazy.in/listings/bmw-330i-gt-m-sport/,"₹2 ,550 ,000",2019 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-12.23.39-PM-3-280x163.jpeg,330i GT M Sport,2019,"92,000 km",Estoril Blue,Black,HR Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/porsche-cayenne/,"₹3 ,650 ,000",2013 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-10-at-4.51.17-PM-2-280x210.jpeg,Porsche Cayenne,2013,72000 Km,Moonlight Blue Metallic,Slate Grey,HR Registered,First Owner,Petrol Car
24 more photos,https://youdrivemecrazy.in/listings/range-rover-sport-hse-facelift/,"₹5 ,800 ,000",2018 Range Rover,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-07-at-1.41.21-PM-2-280x162.jpeg,SPORT HSE (Facelift),2018,38000 Km,Fuji white,Beige,HR Registered,2nd Owner,
